DEPARTURE DATE,total_fare,forecast
2018-01-07,2287.0,
2018-01-14,1520.0,
2018-01-21,3885.0,
2018-01-28,1809.0,
2018-02-04,23483.0,
2018-02-11,2405.0,
2018-02-18,3539.0,
2018-02-25,7511.0,
2018-03-04,0.0,
2018-03-11,7087.0,
2018-03-18,2494.0,
2018-03-25,17824.0,
2018-04-01,0.0,
2018-04-08,1431.0,
2018-04-15,3415.0,
2018-04-22,8159.0,
2018-04-29,17974.0,
2018-05-06,1694.0,
2018-05-13,4999.0,
2018-05-20,0.0,
2018-05-27,0.0,
2018-06-03,358.0,
2018-06-10,1105.0,
2018-06-17,4238.0,
2018-06-24,4455.0,
2018-07-01,10217.0,
2018-07-08,806.0,
2018-07-15,1653.0,
2018-07-22,4104.0,
2018-07-29,37134.0,
2018-08-05,17770.0,
2018-08-12,6310.0,
2018-08-19,16863.0,
2018-08-26,26160.0,
2018-09-02,12529.0,
2018-09-09,6303.0,
2018-09-16,13634.0,
2018-09-23,11634.0,
2018-09-30,9873.0,
2018-10-07,10014.0,
2018-10-14,11575.0,
2018-10-21,8462.0,
2018-10-28,5886.0,
2018-11-04,11439.0,
2018-11-11,13525.0,
2018-11-18,12768.0,
2018-11-25,5916.0,
2018-12-02,7082.0,
2018-12-09,4147.0,
2018-12-16,7578.0,
2018-12-23,20136.0,
2018-12-30,13851.0,
2019-01-06,13084.0,
2019-01-13,26729.0,
2019-01-20,3342.0,
2019-01-27,9666.0,
2019-02-03,31187.0,
2019-02-10,7994.0,
2019-02-17,12923.0,
2019-02-24,2155.0,
2019-03-03,3208.0,
2019-03-10,10177.0,
2019-03-17,6723.0,
2019-03-24,0.0,
2019-03-31,2396.0,
2019-04-07,1011.0,
2019-04-14,3557.0,
2019-04-21,0.0,
2019-04-28,11496.0,
2019-05-05,11544.0,
2019-05-12,7717.0,
2019-05-19,1787.0,
2019-05-26,2432.0,
2019-06-02,3208.0,
2019-06-09,11127.0,
2019-06-16,11942.0,
2019-06-23,2793.0,
2019-06-30,8871.0,
2019-07-07,13349.0,
2019-07-14,6101.0,
2019-07-21,4908.0,
2019-07-28,9518.0,
2019-08-04,0.0,
2019-08-11,5312.0,
2019-08-18,1477.0,
2019-08-25,1477.0,
2019-09-01,13441.0,
2019-09-08,0.0,
2019-09-15,178.0,
2019-09-22,5427.0,
2019-09-29,6150.0,
2019-10-06,0.0,
2019-10-13,11777.0,
2019-10-20,3526.0,
2019-10-27,3962.0,
2019-11-03,0.0,
2019-11-10,3446.0,
2019-11-17,165.0,
2019-11-24,10816.0,
2019-12-01,8361.0,
2019-12-08,15078.0,
2019-12-15,4141.0,
2019-12-22,18848.0,
2019-12-29,0.0,
2020-01-05,26622.0,
2020-01-12,6782.0,
2020-01-19,17969.0,
2020-01-26,5621.0,
2020-02-02,3319.0,
2020-02-09,34452.0,
2020-02-16,32189.0,
2020-02-23,9941.0,
2020-03-01,7089.0,
2020-03-08,12646.0,
2020-03-15,5125.0,
2020-03-22,4039.0,
2020-03-29,2242.0,
2020-04-05,11134.0,
2020-04-12,7096.0,
2020-04-19,9213.0,
2020-04-26,3626.0,
2020-05-03,0.0,
2020-05-10,3325.0,
2020-05-17,2383.0,
2020-05-24,4279.0,
2020-05-31,4868.0,
2020-06-07,2838.0,
2020-06-14,10619.0,
2020-06-21,12603.0,
2020-06-28,1978.0,
2020-07-05,0.0,
2020-07-12,2094.0,
2020-07-19,399.0,
2020-07-26,9330.0,
2020-08-02,5262.0,
2020-08-09,6080.0,
2020-08-16,10484.0,
2020-08-23,0.0,
2020-08-30,0.0,
2020-09-06,0.0,
2020-09-13,0.0,
2020-09-20,0.0,
2020-09-27,468.0,
2020-10-04,0.0,
2020-10-11,468.0,
2020-10-18,0.0,
2020-10-25,0.0,
2020-11-01,0.0,
2020-11-08,0.0,
2020-11-15,0.0,
2020-11-22,0.0,
2020-11-29,0.0,
2020-12-06,0.0,
2020-12-13,0.0,
2020-12-20,0.0,
2020-12-27,0.0,
2021-01-03,0.0,
2021-01-10,0.0,
2021-01-17,0.0,
2021-01-24,0.0,
2021-01-31,0.0,
2021-02-07,3170.0,
2021-02-14,320.0,
2021-02-21,1276.0,
2021-02-28,0.0,
2021-03-07,3297.0,
2021-03-14,0.0,
2021-03-21,4263.0,
2021-03-28,1725.0,
2021-04-04,6052.0,
2021-04-11,5599.0,
2021-04-18,264.0,
2021-04-25,2409.0,
2021-05-02,2028.0,
2021-05-09,744.0,
2021-05-16,3600.0,
2021-05-23,0.0,
2021-05-30,1857.0,
2021-06-06,2386.0,
2021-06-13,10619.0,
2021-06-20,16772.0,
2021-06-27,1500.0,
2021-07-04,6580.0,
2021-07-11,6164.0,
2021-07-18,6688.0,
2021-07-25,12773.0,
2021-08-01,18418.0,
2021-08-08,1461.0,
2021-08-15,10701.0,
2021-08-22,11739.0,
2021-08-29,3963.0,
2021-09-05,6679.0,
2021-09-12,11629.0,
2021-09-19,5744.0,
2021-09-26,2325.0,
2021-10-03,8879.0,
2021-10-10,7250.0,
2021-10-17,1048.0,
2021-10-24,0.0,
2021-10-31,3510.0,
2021-11-07,10824.0,
2021-11-14,6862.0,
2021-11-21,6961.0,
2021-11-28,7033.0,
2021-12-05,3507.0,
2021-12-12,7827.0,
2021-12-19,16583.0,
2021-12-26,2685.0,
2022-01-02,60259.0,
2022-01-09,42067.0,
2022-01-16,5148.0,
2022-01-23,10516.0,
2022-01-30,2650.0,
2022-02-06,8868.0,
2022-02-13,10118.0,
2022-02-20,5242.0,
2022-02-27,10448.0,
2022-03-06,23637.0,
2022-03-13,2516.0,
2022-03-20,22112.0,
2022-03-27,9439.0,
2022-04-03,20396.0,
2022-04-10,14281.0,
2022-04-17,13162.0,
2022-04-24,25278.0,
2022-05-01,18442.0,
2022-05-08,6005.0,
2022-05-15,16520.0,
2022-05-22,2993.0,
2022-05-29,19469.0,
2022-06-05,44877.0,
2022-06-12,21290.0,
2022-06-19,9477.0,
2022-06-26,9365.0,
2022-07-03,,13649.0
2022-07-10,,12731.0
2022-07-17,,12016.0
2022-07-24,,21215.0
2022-07-31,,16921.0
2022-08-07,,12346.0
2022-08-14,,16567.0
2022-08-21,,13751.0
2022-08-28,,12328.0
2022-09-04,,9508.0
2022-09-11,,11430.0
2022-09-18,,10498.0
2022-09-25,,9530.0
