DEPARTURE DATE,total_fare
2018-01-07,15391
2018-01-14,50643
2018-01-21,29567
2018-01-28,45221
2018-02-04,43612
2018-02-11,33125
2018-02-18,40409
2018-02-25,36404
2018-03-04,45849
2018-03-11,47247
2018-03-18,39710
2018-03-25,43724
2018-04-01,53042
2018-04-08,38549
2018-04-15,37786
2018-04-22,34150
2018-04-29,26901
2018-05-06,44436
2018-05-13,46724
2018-05-20,56916
2018-05-27,47560
2018-06-03,88995
2018-06-10,104119
2018-06-17,184921
2018-06-24,209227
2018-07-01,242371
2018-07-08,194085
2018-07-15,207951
2018-07-22,202495
2018-07-29,213167
2018-08-05,207440
2018-08-12,215080
2018-08-19,201687
2018-08-26,189652
2018-09-02,173076
2018-09-09,132249
2018-09-16,85404
2018-09-23,67711
2018-09-30,71091
2018-10-07,56893
2018-10-14,53240
2018-10-21,71284
2018-10-28,48168
2018-11-04,45501
2018-11-11,41428
2018-11-18,55722
2018-11-25,49862
2018-12-02,55127
2018-12-09,86723
2018-12-16,177800
2018-12-23,344128
2018-12-30,236702
2019-01-06,297762
2019-01-13,227563
2019-01-20,94587
2019-01-27,52457
2019-02-03,51462
2019-02-10,29320
2019-02-17,42729
2019-02-24,37948
2019-03-03,39145
2019-03-10,46043
2019-03-17,41027
2019-03-24,39846
2019-03-31,37203
2019-04-07,38286
2019-04-14,36170
2019-04-21,50834
2019-04-28,44507
2019-05-05,35785
2019-05-12,27428
2019-05-19,39432
2019-05-26,58496
2019-06-02,105946
2019-06-09,89085
2019-06-16,92736
2019-06-23,106383
2019-06-30,113778
2019-07-07,87881
2019-07-14,84183
2019-07-21,71000
2019-07-28,59517
2019-08-04,81207
2019-08-11,86562
2019-08-18,76862
2019-08-25,61639
2019-09-01,64092
2019-09-08,27815
2019-09-15,11151
2019-09-22,7322
2019-09-29,8090
2019-10-06,10781
2019-10-13,6771
2019-10-20,11127
2019-10-27,9035
2019-11-03,21462
2019-11-10,9210
2019-11-17,12919
2019-11-24,29018
2019-12-01,21231
2019-12-08,23377
2019-12-15,90676
2019-12-22,163369
2019-12-29,141891
2020-01-05,144689
2020-01-12,124771
2020-01-19,85618
2020-01-26,35960
2020-02-02,25558
2020-02-09,23048
2020-02-16,20877
2020-02-23,21310
2020-03-01,16542
2020-03-08,17037
2020-03-15,73297
2020-03-22,84630
2020-03-29,27314
2020-04-05,25095
2020-04-12,10308
2020-04-19,12593
2020-04-26,8113
2020-05-03,9644
2020-05-10,9257
2020-05-17,10027
2020-05-24,10864
2020-05-31,12755
2020-06-07,13007
2020-06-14,7922
2020-06-21,19023
2020-06-28,21019
2020-07-05,17504
2020-07-12,22653
2020-07-19,6174
2020-07-26,17269
2020-08-02,16613
2020-08-09,7690
2020-08-16,4571
2020-08-23,9230
2020-08-30,5012
2020-09-06,5436
2020-09-13,1198
2020-09-20,2206
2020-09-27,1207
2020-10-04,3607
2020-10-11,0
2020-10-18,1289
2020-10-25,1871
2020-11-01,1816
2020-11-08,372
2020-11-15,0
2020-11-22,0
2020-11-29,344
2020-12-06,503
2020-12-13,991
2020-12-20,153
2020-12-27,985
2021-01-03,890
2021-01-10,474
2021-01-17,481
2021-01-24,0
2021-01-31,1319
2021-02-07,16094
2021-02-14,11158
2021-02-21,21289
2021-02-28,18095
2021-03-07,18086
2021-03-14,27038
2021-03-21,31364
2021-03-28,30332
2021-04-04,36110
2021-04-11,32005
2021-04-18,40289
2021-04-25,30263
2021-05-02,56712
2021-05-09,57491
2021-05-16,51082
2021-05-23,89939
2021-05-30,77301
2021-06-06,85602
2021-06-13,103787
2021-06-20,142635
2021-06-27,141994
2021-07-04,199105
2021-07-11,222066
2021-07-18,159191
2021-07-25,140944
2021-08-01,244650
2021-08-08,194298
2021-08-15,149170
2021-08-22,130048
2021-08-29,123835
2021-09-05,95965
2021-09-12,46400
2021-09-19,40018
2021-09-26,33636
2021-10-03,33276
2021-10-10,29301
2021-10-17,26355
2021-10-24,32649
2021-10-31,27236
2021-11-07,31973
2021-11-14,32166
2021-11-21,37255
2021-11-28,46100
2021-12-05,79536
2021-12-12,114678
2021-12-19,99636
2021-12-26,137538
2022-01-02,95349
2022-01-09,138508
2022-01-16,85118
2022-01-23,49018
2022-01-30,29591
2022-02-06,34650
2022-02-13,56975
2022-02-20,56961
2022-02-27,55420
2022-03-06,81693
2022-03-13,79458
2022-03-20,82523
2022-03-27,97776
2022-04-03,90933
2022-04-10,104551
2022-04-17,98175
2022-04-24,114255
2022-05-01,91025
2022-05-08,97610
2022-05-15,93761
2022-05-22,123868
2022-05-29,157687
2022-06-05,154753
2022-06-12,138597
2022-06-19,165137
2022-06-26,179348
2022-07-03,210660
2022-07-10,196439
2022-07-17,163034
2022-07-24,153538
2022-07-31,119854
2022-08-07,129234
2022-08-14,95700
2022-08-21,96481
2022-08-28,58317
2022-09-04,89044
2022-09-11,39379
2022-09-18,31978
2022-09-25,12198
2022-10-02,18428
