DEPARTURE DATE,total_fare,forecast
2018-01-07,15391.0,
2018-01-14,50643.0,
2018-01-21,29567.0,
2018-01-28,45221.0,
2018-02-04,43612.0,
2018-02-11,33125.0,
2018-02-18,40409.0,
2018-02-25,36404.0,
2018-03-04,45849.0,
2018-03-11,47247.0,
2018-03-18,39710.0,
2018-03-25,43724.0,
2018-04-01,53042.0,
2018-04-08,38549.0,
2018-04-15,37786.0,
2018-04-22,34150.0,
2018-04-29,26901.0,
2018-05-06,44436.0,
2018-05-13,46724.0,
2018-05-20,56916.0,
2018-05-27,47560.0,
2018-06-03,88995.0,
2018-06-10,104119.0,
2018-06-17,184921.0,
2018-06-24,209227.0,
2018-07-01,242371.0,
2018-07-08,194085.0,
2018-07-15,207951.0,
2018-07-22,202495.0,
2018-07-29,213167.0,
2018-08-05,207440.0,
2018-08-12,215080.0,
2018-08-19,201687.0,
2018-08-26,189652.0,
2018-09-02,173076.0,
2018-09-09,132249.0,
2018-09-16,85404.0,
2018-09-23,67711.0,
2018-09-30,71091.0,
2018-10-07,56893.0,
2018-10-14,53240.0,
2018-10-21,71284.0,
2018-10-28,48168.0,
2018-11-04,45501.0,
2018-11-11,41428.0,
2018-11-18,55722.0,
2018-11-25,49862.0,
2018-12-02,55127.0,
2018-12-09,86723.0,
2018-12-16,177800.0,
2018-12-23,344128.0,
2018-12-30,236702.0,
2019-01-06,297762.0,
2019-01-13,227563.0,
2019-01-20,94587.0,
2019-01-27,52457.0,
2019-02-03,51462.0,
2019-02-10,29320.0,
2019-02-17,42729.0,
2019-02-24,37948.0,
2019-03-03,39145.0,
2019-03-10,46043.0,
2019-03-17,41027.0,
2019-03-24,39846.0,
2019-03-31,37203.0,
2019-04-07,38286.0,
2019-04-14,36170.0,
2019-04-21,50834.0,
2019-04-28,44507.0,
2019-05-05,35785.0,
2019-05-12,27428.0,
2019-05-19,39432.0,
2019-05-26,58496.0,
2019-06-02,105946.0,
2019-06-09,89085.0,
2019-06-16,92736.0,
2019-06-23,106383.0,
2019-06-30,113778.0,
2019-07-07,87881.0,
2019-07-14,84183.0,
2019-07-21,71000.0,
2019-07-28,59517.0,
2019-08-04,81207.0,
2019-08-11,86562.0,
2019-08-18,76862.0,
2019-08-25,61639.0,
2019-09-01,64092.0,
2019-09-08,27815.0,
2019-09-15,11151.0,
2019-09-22,7322.0,
2019-09-29,8090.0,
2019-10-06,10781.0,
2019-10-13,6771.0,
2019-10-20,11127.0,
2019-10-27,9035.0,
2019-11-03,21462.0,
2019-11-10,9210.0,
2019-11-17,12919.0,
2019-11-24,29018.0,
2019-12-01,21231.0,
2019-12-08,23377.0,
2019-12-15,90676.0,
2019-12-22,163369.0,
2019-12-29,141891.0,
2020-01-05,144689.0,
2020-01-12,124771.0,
2020-01-19,85618.0,
2020-01-26,35960.0,
2020-02-02,25558.0,
2020-02-09,23048.0,
2020-02-16,20877.0,
2020-02-23,21310.0,
2020-03-01,16542.0,
2020-03-08,17037.0,
2020-03-15,73297.0,
2020-03-22,84630.0,
2020-03-29,27314.0,
2020-04-05,25095.0,
2020-04-12,10308.0,
2020-04-19,12593.0,
2020-04-26,8113.0,
2020-05-03,9644.0,
2020-05-10,9257.0,
2020-05-17,10027.0,
2020-05-24,10864.0,
2020-05-31,12755.0,
2020-06-07,13007.0,
2020-06-14,7922.0,
2020-06-21,19023.0,
2020-06-28,21019.0,
2020-07-05,17504.0,
2020-07-12,22653.0,
2020-07-19,6174.0,
2020-07-26,17269.0,
2020-08-02,16613.0,
2020-08-09,7690.0,
2020-08-16,4571.0,
2020-08-23,9230.0,
2020-08-30,5012.0,
2020-09-06,5436.0,
2020-09-13,1198.0,
2020-09-20,2206.0,
2020-09-27,1207.0,
2020-10-04,3607.0,
2020-10-11,0.0,
2020-10-18,1289.0,
2020-10-25,1871.0,
2020-11-01,1816.0,
2020-11-08,372.0,
2020-11-15,0.0,
2020-11-22,0.0,
2020-11-29,344.0,
2020-12-06,503.0,
2020-12-13,991.0,
2020-12-20,153.0,
2020-12-27,985.0,
2021-01-03,890.0,
2021-01-10,474.0,
2021-01-17,481.0,
2021-01-24,0.0,
2021-01-31,1319.0,
2021-02-07,16094.0,
2021-02-14,11158.0,
2021-02-21,21289.0,
2021-02-28,18095.0,
2021-03-07,18086.0,
2021-03-14,27038.0,
2021-03-21,31364.0,
2021-03-28,30332.0,
2021-04-04,36110.0,
2021-04-11,32005.0,
2021-04-18,40289.0,
2021-04-25,30263.0,
2021-05-02,56712.0,
2021-05-09,57491.0,
2021-05-16,51082.0,
2021-05-23,89939.0,
2021-05-30,77301.0,
2021-06-06,85602.0,
2021-06-13,103787.0,
2021-06-20,142635.0,
2021-06-27,141994.0,
2021-07-04,199105.0,
2021-07-11,222066.0,
2021-07-18,159191.0,
2021-07-25,140944.0,
2021-08-01,244650.0,
2021-08-08,194298.0,
2021-08-15,149170.0,
2021-08-22,130048.0,
2021-08-29,123835.0,
2021-09-05,95965.0,
2021-09-12,46400.0,
2021-09-19,40018.0,
2021-09-26,33636.0,
