"BOOKING ID","BOOKING DATE","ORIGIN","BOOKED OFFICE","DESTINATION","DIRECTION","AIRPORTS","GATEWAYS","TRIP TYPE","ITINERARY TYPE","VALIDATING CARRIER","MARKETING CARRIERS","OPERATING CARRIERS","DEPARTURE DATE","ARRIVAL DATE","BOOKING CLASS","FARE BASIS","ADT","CHD"
"97389631","2018/4/3","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","one-way","BF","BF","BF","2018/6/28","2018/6/29 16:00:00","L","LLNCOWUS","380","0"
"97407401","2018/4/4","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","one-way","BF","BF","BF","2018/6/6","2018/6/7 18:55:00","T","TLNCRTUS","170","0"
"97429456","2018/4/6","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","round","BF","BF","BF","2018/6/6","2018/6/7 18:55:00","T","TLNCRTUS","170","0"
"97440132","2018/4/6","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","round","BF","BF","BF","2018/12/22","2018/12/23 15:20:00","T","TLNCRTUS","340","64"
"97446308","2018/4/7","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","round","BF","BF","BF","2018/12/20","2018/12/21 15:20:00","T","TLNCRTUS","170","0"
"97447132","2018/4/7","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","round","BF","BF","BF","2018/5/30","2018/5/31 18:55:00","T","TLNCRTUS","85","0"
"97448622","2018/4/7","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","one-way","BF","BF","BF","2018/6/30","2018/7/1 16:00:00","L","LLNCOWUS","190","0"
"97448795","2018/4/7","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","one-way","BF","BF","BF","2018/6/28","2018/6/29 16:00:00","L","LLNCOWUS","380","0"
"97448987","2018/4/7","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","round","BF","BF","BF","2018/12/22","2018/12/23 15:20:00","T","TLNCRTUS","170","0"
"97449845","2018/4/7","SFO","ATL1S211S","ORY","OUTBOUND","SFO,ORY","SFO,ORY","transatlantic","round","BF","BF","BF","2018/12/22","2018/12/23 15:20:00","T","TLNCRTUS","170","0"
