DEPARTURE DATE,total_fare
2018-10-28,859
2018-11-04,1818
2018-11-11,5018
2018-11-18,1082
2018-11-25,3029
2018-12-02,2140
2018-12-09,560
2018-12-16,2809
2018-12-23,3243
2018-12-30,2592
2019-01-06,4471
2019-01-13,6208
2019-01-20,3324
2019-01-27,5308
2019-02-03,4185
2019-02-10,3580
2019-02-17,7403
2019-02-24,3453
2019-03-03,6630
2019-03-10,5962
2019-03-17,2321
2019-03-24,8689
2019-03-31,7279
2019-04-07,7896
2019-04-14,12534
2019-04-21,12067
2019-04-28,14785
2019-05-05,7458
2019-05-12,7406
2019-05-19,11231
2019-05-26,10682
2019-06-02,6614
2019-06-09,6606
2019-06-16,7900
2019-06-23,5402
2019-06-30,4832
2019-07-07,2365
2019-07-14,1580
2019-07-21,774
2019-07-28,5126
2019-08-04,2068
2019-08-11,1783
2019-08-18,1446
2019-08-25,3489
2019-09-01,4617
2019-09-08,5347
2019-09-15,3873
2019-09-22,1788
2019-09-29,6195
2019-10-06,1830
2019-10-13,2352
2019-10-20,5017
2019-10-27,7586
2019-11-03,6096
2019-11-10,8597
2019-11-17,18374
2019-11-24,8301
2019-12-01,17771
2019-12-08,7549
2019-12-15,32039
2019-12-22,15658
2019-12-29,24839
2020-01-05,31910
2020-01-12,12047
2020-01-19,27590
2020-01-26,17876
2020-02-02,24388
2020-02-09,44941
2020-02-16,44906
2020-02-23,48238
2020-03-01,29488
2020-03-08,44934
2020-03-15,35077
2020-03-22,25681
2020-03-29,44017
2020-04-05,32315
2020-04-12,18068
2020-04-19,19080
2020-04-26,13710
2020-05-03,25523
2020-05-10,3371
2020-05-17,11527
2020-05-24,9944
2020-05-31,10182
2020-06-07,18331
2020-06-14,21984
2020-06-21,15771
2020-06-28,10180
2020-07-05,17276
2020-07-12,11711
2020-07-19,5240
2020-07-26,3128
2020-08-02,3440
2020-08-09,1602
2020-08-16,387
2020-08-23,1553
2020-08-30,5607
2020-09-06,1079
2020-09-13,291
2020-09-20,1251
2020-09-27,1494
2020-10-04,960
2020-10-11,2184
2020-10-18,972
2020-10-25,1017
2020-11-01,6231
2020-11-08,9915
2020-11-15,2498
2020-11-22,2184
2020-11-29,2837
2020-12-06,727
2020-12-13,8582
2020-12-20,1828
2020-12-27,8644
2021-01-03,4287
2021-01-10,7799
2021-01-17,2394
2021-01-24,2609
2021-01-31,6389
2021-02-07,0
2021-02-14,0
2021-02-21,454
2021-02-28,0
2021-03-07,2115
2021-03-14,494
2021-03-21,0
2021-03-28,0
2021-04-04,302
2021-04-11,474
2021-04-18,0
2021-04-25,474
2021-05-02,1821
2021-05-09,2544
2021-05-16,1836
2021-05-23,999
2021-05-30,1084
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,790
2021-07-04,0
2021-07-11,0
2021-07-18,1059
2021-07-25,10679
2021-08-01,1568
2021-08-08,0
2021-08-15,2401
2021-08-22,7841
2021-08-29,13212
2021-09-05,899
2021-09-12,762
2021-09-19,1453
2021-09-26,574
2021-10-03,2451
2021-10-10,1614
2021-10-17,424
2021-10-24,1566
2021-10-31,1148
2021-11-07,1368
2021-11-14,3209
2021-11-21,4120
2021-11-28,2410
2021-12-05,1038
2021-12-12,2143
2021-12-19,1712
2021-12-26,0
2022-01-02,1498
2022-01-09,14330
2022-01-16,0
2022-01-23,4594
2022-01-30,3266
2022-02-06,0
2022-02-13,1986
2022-02-20,2801
2022-02-27,0
2022-03-06,15714
2022-03-13,12387
2022-03-20,2985
2022-03-27,5264
2022-04-03,6877
2022-04-10,4991
2022-04-17,10836
2022-04-24,6720
2022-05-01,5284
2022-05-08,13124
2022-05-15,2611
2022-05-22,5115
2022-05-29,4874
2022-06-05,0
2022-06-12,5908
2022-06-19,2688
2022-06-26,4230
2022-07-03,0
