DEPARTURE DATE,total_fare,forecast
2018-10-28,859.0,
2018-11-04,1818.0,
2018-11-11,5018.0,
2018-11-18,1082.0,
2018-11-25,3029.0,
2018-12-02,2140.0,
2018-12-09,560.0,
2018-12-16,2809.0,
2018-12-23,3243.0,
2018-12-30,2592.0,
2019-01-06,4471.0,
2019-01-13,6208.0,
2019-01-20,3324.0,
2019-01-27,5308.0,
2019-02-03,4185.0,
2019-02-10,3580.0,
2019-02-17,7403.0,
2019-02-24,3453.0,
2019-03-03,6630.0,
2019-03-10,5962.0,
2019-03-17,2321.0,
2019-03-24,8689.0,
2019-03-31,7279.0,
2019-04-07,7896.0,
2019-04-14,12534.0,
2019-04-21,12067.0,
2019-04-28,14785.0,
2019-05-05,7458.0,
2019-05-12,7406.0,
2019-05-19,11231.0,
2019-05-26,10682.0,
2019-06-02,6614.0,
2019-06-09,6606.0,
2019-06-16,7900.0,
2019-06-23,5402.0,
2019-06-30,4832.0,
2019-07-07,2365.0,
2019-07-14,1580.0,
2019-07-21,774.0,
2019-07-28,5126.0,
2019-08-04,2068.0,
2019-08-11,1783.0,
2019-08-18,1446.0,
2019-08-25,3489.0,
2019-09-01,4617.0,
2019-09-08,5347.0,
2019-09-15,3873.0,
2019-09-22,1788.0,
2019-09-29,6195.0,
2019-10-06,1830.0,
2019-10-13,2352.0,
2019-10-20,5017.0,
2019-10-27,7586.0,
2019-11-03,6096.0,
2019-11-10,8597.0,
2019-11-17,18374.0,
2019-11-24,8301.0,
2019-12-01,17771.0,
2019-12-08,7549.0,
2019-12-15,32039.0,
2019-12-22,15658.0,
2019-12-29,24839.0,
2020-01-05,31910.0,
2020-01-12,12047.0,
2020-01-19,27590.0,
2020-01-26,17876.0,
2020-02-02,24388.0,
2020-02-09,44941.0,
2020-02-16,44906.0,
2020-02-23,48238.0,
2020-03-01,29488.0,
2020-03-08,44934.0,
2020-03-15,35077.0,
2020-03-22,25681.0,
2020-03-29,44017.0,
2020-04-05,32315.0,
2020-04-12,18068.0,
2020-04-19,19080.0,
2020-04-26,13710.0,
2020-05-03,25523.0,
2020-05-10,3371.0,
2020-05-17,11527.0,
2020-05-24,9944.0,
2020-05-31,10182.0,
2020-06-07,18331.0,
2020-06-14,21984.0,
2020-06-21,15771.0,
2020-06-28,10180.0,
2020-07-05,17276.0,
2020-07-12,11711.0,
2020-07-19,5240.0,
2020-07-26,3128.0,
2020-08-02,3440.0,
2020-08-09,1602.0,
2020-08-16,387.0,
2020-08-23,1553.0,
2020-08-30,5607.0,
2020-09-06,1079.0,
2020-09-13,291.0,
2020-09-20,1251.0,
2020-09-27,1494.0,
2020-10-04,960.0,
2020-10-11,2184.0,
2020-10-18,972.0,
2020-10-25,1017.0,
2020-11-01,6231.0,
2020-11-08,9915.0,
2020-11-15,2498.0,
2020-11-22,2184.0,
2020-11-29,2837.0,
2020-12-06,727.0,
2020-12-13,8582.0,
2020-12-20,1828.0,
2020-12-27,8644.0,
2021-01-03,4287.0,
2021-01-10,7799.0,
2021-01-17,2394.0,
2021-01-24,2609.0,
2021-01-31,6389.0,
2021-02-07,0.0,
2021-02-14,0.0,
2021-02-21,454.0,
2021-02-28,0.0,
2021-03-07,2115.0,
2021-03-14,494.0,
2021-03-21,0.0,
2021-03-28,0.0,
2021-04-04,302.0,
2021-04-11,474.0,
2021-04-18,0.0,
2021-04-25,474.0,
2021-05-02,1821.0,
2021-05-09,2544.0,
2021-05-16,1836.0,
2021-05-23,999.0,
2021-05-30,1084.0,
2021-06-06,0.0,
2021-06-13,0.0,
2021-06-20,0.0,
2021-06-27,790.0,
2021-07-04,0.0,
2021-07-11,0.0,
2021-07-18,1059.0,
2021-07-25,10679.0,
2021-08-01,1568.0,
2021-08-08,0.0,
2021-08-15,2401.0,
2021-08-22,7841.0,
2021-08-29,13212.0,
2021-09-05,899.0,
2021-09-12,762.0,
2021-09-19,1453.0,
2021-09-26,574.0,
2021-10-03,2451.0,
2021-10-10,1614.0,
2021-10-17,424.0,
2021-10-24,1566.0,
2021-10-31,1148.0,
2021-11-07,1368.0,
2021-11-14,3209.0,
2021-11-21,4120.0,
2021-11-28,2410.0,
2021-12-05,1038.0,
2021-12-12,2143.0,
2021-12-19,1712.0,
2021-12-26,0.0,
2022-01-02,1498.0,
2022-01-09,14330.0,
2022-01-16,0.0,
2022-01-23,4594.0,
2022-01-30,3266.0,
2022-02-06,0.0,
2022-02-13,1986.0,
2022-02-20,2801.0,
2022-02-27,0.0,
2022-03-06,15714.0,
2022-03-13,12387.0,
2022-03-20,2985.0,
2022-03-27,5264.0,
2022-04-03,4158.0,
2022-04-10,,5090.0
2022-04-17,,4392.0
2022-04-24,,4744.0
2022-05-01,,6370.0
2022-05-08,,6800.0
2022-05-15,,6319.0
2022-05-22,,5347.0
2022-05-29,,5484.0
2022-06-05,,4406.0
2022-06-12,,4370.0
2022-06-19,,4413.0
2022-06-26,,5167.0
2022-07-03,,4400.0
