DEPARTURE DATE,total_fare
2018-02-04,2217
2018-02-11,4073
2018-02-18,2728
2018-02-25,9444
2018-03-04,8225
2018-03-11,14260
2018-03-18,20655
2018-03-25,37629
2018-04-01,46103
2018-04-08,46543
2018-04-15,43030
2018-04-22,43562
2018-04-29,52358
2018-05-06,33619
2018-05-13,54142
2018-05-20,54292
2018-05-27,52960
2018-06-03,73550
2018-06-10,71699
2018-06-17,79422
2018-06-24,99021
2018-07-01,105743
2018-07-08,124148
2018-07-15,124077
2018-07-22,99018
2018-07-29,138291
2018-08-05,117409
2018-08-12,103787
2018-08-19,89506
2018-08-26,68760
2018-09-02,81945
2018-09-09,33151
2018-09-16,42469
2018-09-23,32584
2018-09-30,26031
2018-10-07,36821
2018-10-14,20908
2018-10-21,22250
2018-10-28,22066
2018-11-04,17790
2018-11-11,19651
2018-11-18,35303
2018-11-25,21140
2018-12-02,30927
2018-12-09,25842
2018-12-16,42575
2018-12-23,67575
2018-12-30,53126
2019-01-06,59292
2019-01-13,37433
2019-01-20,31754
2019-01-27,24873
2019-02-03,14942
2019-02-10,6377
2019-02-17,14502
2019-02-24,7674
2019-03-03,9619
2019-03-10,6743
2019-03-17,11833
2019-03-24,9542
2019-03-31,7302
2019-04-07,5825
2019-04-14,4826
2019-04-21,5591
2019-04-28,408
2019-05-05,1495
2019-05-12,2157
2019-05-19,2728
2019-05-26,837
2019-06-02,0
2019-06-09,1056
2019-06-16,1047
2019-06-23,1224
2019-06-30,3947
2019-07-07,674
2019-07-14,7983
2019-07-21,4293
2019-07-28,2987
2019-08-04,1249
2019-08-11,399
2019-08-18,2487
2019-08-25,2665
2019-09-01,2730
2019-09-08,332
2019-09-15,778
2019-09-22,1405
2019-09-29,1684
2019-10-06,6385
2019-10-13,6671
2019-10-20,4504
2019-10-27,4883
2019-11-03,7154
2019-11-10,11705
2019-11-17,14242
2019-11-24,20450
2019-12-01,24829
2019-12-08,22020
2019-12-15,22207
2019-12-22,39353
2019-12-29,50343
2020-01-05,24393
2020-01-12,30622
2020-01-19,35688
2020-01-26,39136
2020-02-02,44173
2020-02-09,49404
2020-02-16,57786
2020-02-23,54871
2020-03-01,59036
2020-03-08,43559
2020-03-15,38503
2020-03-22,30288
2020-03-29,56738
2020-04-05,36896
2020-04-12,44615
2020-04-19,26695
2020-04-26,32735
2020-05-03,29426
2020-05-10,16706
2020-05-17,15911
2020-05-24,16034
2020-05-31,20284
2020-06-07,20157
2020-06-14,12536
2020-06-21,19601
2020-06-28,11337
2020-07-05,19935
2020-07-12,13688
2020-07-19,11114
2020-07-26,10266
2020-08-02,16755
2020-08-09,5578
2020-08-16,5990
2020-08-23,6504
2020-08-30,2823
2020-09-06,8879
2020-09-13,3014
2020-09-20,2441
2020-09-27,6946
2020-10-04,5763
2020-10-11,3378
2020-10-18,3290
2020-10-25,7045
2020-11-01,4256
2020-11-08,4573
2020-11-15,3284
2020-11-22,9400
2020-11-29,5099
2020-12-06,4376
2020-12-13,5442
2020-12-20,7980
2020-12-27,3360
2021-01-03,3588
2021-01-10,4946
2021-01-17,2293
2021-01-24,2516
2021-01-31,235
2021-02-07,2288
2021-02-14,1740
2021-02-21,600
2021-02-28,2130
2021-03-07,2442
2021-03-14,2935
2021-03-21,3410
2021-03-28,1136
2021-04-04,0
2021-04-11,0
2021-04-18,2022
2021-04-25,1807
2021-05-02,977
2021-05-09,1500
2021-05-16,3186
2021-05-23,1693
2021-05-30,832
2021-06-06,3532
2021-06-13,6821
2021-06-20,851
2021-06-27,1541
2021-07-04,820
2021-07-11,8916
2021-07-18,3274
2021-07-25,531
2021-08-01,5727
2021-08-08,7707
2021-08-15,5353
2021-08-22,9862
2021-08-29,6097
2021-09-05,6733
2021-09-12,2269
2021-09-19,4905
2021-09-26,3597
2021-10-03,1836
2021-10-10,1066
2021-10-17,1551
2021-10-24,444
2021-10-31,1637
2021-11-07,1363
2021-11-14,0
2021-11-21,2553
2021-11-28,2812
2021-12-05,4014
2021-12-12,1210
2021-12-19,6162
2021-12-26,4262
2022-01-02,6983
2022-01-09,2712
2022-01-16,1474
2022-01-23,483
2022-01-30,4089
2022-02-06,4387
2022-02-13,2588
2022-02-20,5854
2022-02-27,8617
2022-03-06,4449
2022-03-13,5599
2022-03-20,8898
2022-03-27,12913
2022-04-03,20057
2022-04-10,8934
2022-04-17,9452
2022-04-24,20481
2022-05-01,23032
2022-05-08,14104
2022-05-15,24364
2022-05-22,16908
2022-05-29,12334
2022-06-05,29760
2022-06-12,22863
2022-06-19,16406
2022-06-26,20035
2022-07-03,13255
