DEPARTURE DATE,total_fare,forecast
2018-02-04,2217.0,
2018-02-11,4073.0,
2018-02-18,2728.0,
2018-02-25,9444.0,
2018-03-04,8225.0,
2018-03-11,14260.0,
2018-03-18,20655.0,
2018-03-25,37629.0,
2018-04-01,46103.0,
2018-04-08,46543.0,
2018-04-15,43030.0,
2018-04-22,43562.0,
2018-04-29,52358.0,
2018-05-06,33619.0,
2018-05-13,54142.0,
2018-05-20,54292.0,
2018-05-27,52960.0,
2018-06-03,73550.0,
2018-06-10,71699.0,
2018-06-17,79422.0,
2018-06-24,99021.0,
2018-07-01,105743.0,
2018-07-08,124148.0,
2018-07-15,124077.0,
2018-07-22,99018.0,
2018-07-29,138291.0,
2018-08-05,117409.0,
2018-08-12,103787.0,
2018-08-19,89506.0,
2018-08-26,68760.0,
2018-09-02,81945.0,
2018-09-09,33151.0,
2018-09-16,42469.0,
2018-09-23,32584.0,
2018-09-30,26031.0,
2018-10-07,36821.0,
2018-10-14,20908.0,
2018-10-21,22250.0,
2018-10-28,22066.0,
2018-11-04,17790.0,
2018-11-11,19651.0,
2018-11-18,35303.0,
2018-11-25,21140.0,
2018-12-02,30927.0,
2018-12-09,25842.0,
2018-12-16,42575.0,
2018-12-23,67575.0,
2018-12-30,53126.0,
2019-01-06,59292.0,
2019-01-13,37433.0,
2019-01-20,31754.0,
2019-01-27,24873.0,
2019-02-03,14942.0,
2019-02-10,6377.0,
2019-02-17,14502.0,
2019-02-24,7674.0,
2019-03-03,9619.0,
2019-03-10,6743.0,
2019-03-17,11833.0,
2019-03-24,9542.0,
2019-03-31,7302.0,
2019-04-07,5825.0,
2019-04-14,4826.0,
2019-04-21,5591.0,
2019-04-28,408.0,
2019-05-05,1495.0,
2019-05-12,2157.0,
2019-05-19,2728.0,
2019-05-26,837.0,
2019-06-02,0.0,
2019-06-09,1056.0,
2019-06-16,1047.0,
2019-06-23,1224.0,
2019-06-30,3947.0,
2019-07-07,674.0,
2019-07-14,7983.0,
2019-07-21,4293.0,
2019-07-28,2987.0,
2019-08-04,1249.0,
2019-08-11,399.0,
2019-08-18,2487.0,
2019-08-25,2665.0,
2019-09-01,2730.0,
2019-09-08,332.0,
2019-09-15,778.0,
2019-09-22,1405.0,
2019-09-29,1684.0,
2019-10-06,6385.0,
2019-10-13,6671.0,
2019-10-20,4504.0,
2019-10-27,4883.0,
2019-11-03,7154.0,
2019-11-10,11705.0,
2019-11-17,14242.0,
2019-11-24,20450.0,
2019-12-01,24829.0,
2019-12-08,22020.0,
2019-12-15,22207.0,
2019-12-22,39353.0,
2019-12-29,50343.0,
2020-01-05,24393.0,
2020-01-12,30622.0,
2020-01-19,35688.0,
2020-01-26,39136.0,
2020-02-02,44173.0,
2020-02-09,49404.0,
2020-02-16,57786.0,
2020-02-23,54871.0,
2020-03-01,59036.0,
2020-03-08,43559.0,
2020-03-15,38503.0,
2020-03-22,30288.0,
2020-03-29,56738.0,
2020-04-05,36896.0,
2020-04-12,44615.0,
2020-04-19,26695.0,
2020-04-26,32735.0,
2020-05-03,29426.0,
2020-05-10,16706.0,
2020-05-17,15911.0,
2020-05-24,16034.0,
2020-05-31,20284.0,
2020-06-07,20157.0,
2020-06-14,12536.0,
2020-06-21,19601.0,
2020-06-28,11337.0,
