DEPARTURE DATE,total_fare,forecast
2018-01-07,14027.0,
2018-01-14,37238.0,
2018-01-21,23581.0,
2018-01-28,24798.0,
2018-02-04,18612.0,
2018-02-11,16114.0,
2018-02-18,37420.0,
2018-02-25,81602.0,
2018-03-04,49337.0,
2018-03-11,35734.0,
2018-03-18,45035.0,
2018-03-25,72692.0,
2018-04-01,58401.0,
2018-04-08,50932.0,
2018-04-15,51294.0,
2018-04-22,44544.0,
2018-04-29,61092.0,
2018-05-06,68895.0,
2018-05-13,94375.0,
2018-05-20,63212.0,
2018-05-27,80927.0,
2018-06-03,136233.0,
2018-06-10,129088.0,
2018-06-17,185039.0,
2018-06-24,220268.0,
2018-07-01,294418.0,
2018-07-08,284660.0,
2018-07-15,277109.0,
2018-07-22,267452.0,
2018-07-29,327496.0,
2018-08-05,360412.0,
2018-08-12,302067.0,
2018-08-19,343094.0,
2018-08-26,299548.0,
2018-09-02,265501.0,
2018-09-09,216432.0,
2018-09-16,118696.0,
2018-09-23,103715.0,
2018-09-30,88770.0,
2018-10-07,104578.0,
2018-10-14,84328.0,
2018-10-21,81461.0,
2018-10-28,61783.0,
2018-11-04,61181.0,
2018-11-11,41156.0,
2018-11-18,64330.0,
2018-11-25,58128.0,
2018-12-02,47443.0,
2018-12-09,66278.0,
2018-12-16,247609.0,
2018-12-23,345009.0,
2018-12-30,261861.0,
2019-01-06,299806.0,
2019-01-13,183984.0,
2019-01-20,117666.0,
2019-01-27,57055.0,
2019-02-03,35309.0,
2019-02-10,30003.0,
2019-02-17,27248.0,
2019-02-24,27932.0,
2019-03-03,31720.0,
2019-03-10,46731.0,
2019-03-17,33630.0,
2019-03-24,46047.0,
2019-03-31,29922.0,
2019-04-07,58323.0,
2019-04-14,58948.0,
2019-04-21,62230.0,
2019-04-28,54002.0,
2019-05-05,41498.0,
2019-05-12,29118.0,
2019-05-19,52442.0,
2019-05-26,90811.0,
2019-06-02,85692.0,
2019-06-09,80097.0,
2019-06-16,132620.0,
