DEPARTURE DATE,total_fare
2018-01-07,13428
2018-01-14,18984
2018-01-21,19003
2018-01-28,24074
2018-02-04,24002
2018-02-11,34307
2018-02-18,26638
2018-02-25,37938
2018-03-04,55065
2018-03-11,58326
2018-03-18,56616
2018-03-25,54038
2018-04-01,51365
2018-04-08,63171
2018-04-15,71159
2018-04-22,62088
2018-04-29,58376
2018-05-06,72373
2018-05-13,37903
2018-05-20,45693
2018-05-27,24666
2018-06-03,37844
2018-06-10,30118
2018-06-17,45997
2018-06-24,48449
2018-07-01,58780
2018-07-08,54354
2018-07-15,61988
2018-07-22,56215
2018-07-29,66224
2018-08-05,65730
2018-08-12,67849
2018-08-19,63682
2018-08-26,55546
2018-09-02,85427
2018-09-09,48497
2018-09-16,22512
2018-09-23,20411
2018-09-30,14701
2018-10-07,24884
2018-10-14,16880
2018-10-21,21601
2018-10-28,11925
2018-11-04,23135
2018-11-11,22798
2018-11-18,16880
2018-11-25,26764
2018-12-02,29053
2018-12-09,66430
2018-12-16,76102
2018-12-23,130984
2018-12-30,111905
2019-01-06,143717
2019-01-13,127561
2019-01-20,78051
2019-01-27,66871
2019-02-03,65268
2019-02-10,44472
2019-02-17,48056
2019-02-24,79541
2019-03-03,78232
2019-03-10,84947
2019-03-17,64860
2019-03-24,82697
2019-03-31,75158
2019-04-07,87985
2019-04-14,67326
2019-04-21,82813
2019-04-28,106688
2019-05-05,74518
2019-05-12,58235
2019-05-19,50293
2019-05-26,63825
2019-06-02,55989
2019-06-09,55893
2019-06-16,85624
2019-06-23,66235
2019-06-30,84262
2019-07-07,63747
2019-07-14,95585
2019-07-21,94008
2019-07-28,79866
2019-08-04,93269
2019-08-11,95963
2019-08-18,102307
2019-08-25,72587
2019-09-01,140857
2019-09-08,110771
2019-09-15,67581
2019-09-22,50460
2019-09-29,39954
2019-10-06,39813
2019-10-13,44737
2019-10-20,40230
2019-10-27,40002
2019-11-03,52300
2019-11-10,50667
2019-11-17,42736
2019-11-24,58678
2019-12-01,60842
2019-12-08,58105
2019-12-15,116921
2019-12-22,192723
2019-12-29,146730
2020-01-05,181525
2020-01-12,168050
2020-01-19,95977
2020-01-26,82086
2020-02-02,78203
2020-02-09,125623
2020-02-16,93856
2020-02-23,74182
2020-03-01,98682
2020-03-08,90953
2020-03-15,86259
2020-03-22,103838
2020-03-29,118645
2020-04-05,74378
2020-04-12,64941
2020-04-19,58491
2020-04-26,55482
2020-05-03,44246
2020-05-10,39039
2020-05-17,39407
2020-05-24,19667
2020-05-31,30039
2020-06-07,46776
2020-06-14,29050
2020-06-21,35955
2020-06-28,38386
2020-07-05,26434
2020-07-12,29248
2020-07-19,31047
2020-07-26,29010
2020-08-02,35631
2020-08-09,35184
2020-08-16,26251
2020-08-23,29372
2020-08-30,24381
2020-09-06,47097
2020-09-13,24322
2020-09-20,19665
2020-09-27,15940
2020-10-04,20833
2020-10-11,10257
2020-10-18,9089
2020-10-25,13134
2020-11-01,13760
2020-11-08,28876
2020-11-15,16943
2020-11-22,16707
2020-11-29,12880
2020-12-06,25200
2020-12-13,36352
2020-12-20,35642
2020-12-27,25521
2021-01-03,29373
2021-01-10,25837
2021-01-17,21608
2021-01-24,25095
2021-01-31,20034
2021-02-07,32715
2021-02-14,17561
2021-02-21,27746
2021-02-28,27313
2021-03-07,25241
2021-03-14,23311
2021-03-21,14536
2021-03-28,22916
2021-04-04,22710
2021-04-11,16246
2021-04-18,17750
2021-04-25,7560
2021-05-02,18742
2021-05-09,12033
2021-05-16,23537
2021-05-23,9265
2021-05-30,26625
2021-06-06,20370
2021-06-13,27304
2021-06-20,20842
2021-06-27,35556
2021-07-04,49659
2021-07-11,39366
2021-07-18,47392
2021-07-25,52249
2021-08-01,63744
2021-08-08,79514
2021-08-15,57751
2021-08-22,87468
2021-08-29,69895
2021-09-05,89183
2021-09-12,63644
2021-09-19,48351
2021-09-26,57768
2021-10-03,54494
2021-10-10,52257
2021-10-17,58575
2021-10-24,56376
2021-10-31,90983
2021-11-07,69824
2021-11-14,62680
2021-11-21,74489
2021-11-28,151226
2021-12-05,165389
2021-12-12,147953
2021-12-19,211645
2021-12-26,218912
2022-01-02,238726
2022-01-09,207323
2022-01-16,212964
2022-01-23,152762
2022-01-30,141416
2022-02-06,147712
2022-02-13,136664
2022-02-20,149918
2022-02-27,126738
2022-03-06,150327
2022-03-13,134828
2022-03-20,139533
2022-03-27,153857
2022-04-03,186885
2022-04-10,166116
2022-04-17,149503
2022-04-24,150033
2022-05-01,183600
2022-05-08,156970
2022-05-15,167891
2022-05-22,153301
2022-05-29,164550
2022-06-05,166141
2022-06-12,204376
2022-06-19,226180
2022-06-26,261551
2022-07-03,413388
2022-07-10,199529
2022-07-17,266643
2022-07-24,158982
2022-07-31,189180
2022-08-07,146562
2022-08-14,167124
2022-08-21,188580
2022-08-28,162885
2022-09-04,176194
2022-09-11,76711
2022-09-18,47919
2022-09-25,40556
2022-10-02,37709
