DEPARTURE DATE,total_fare,forecast
2018-01-07,13428.0,
2018-01-14,18984.0,
2018-01-21,19003.0,
2018-01-28,24074.0,
2018-02-04,24002.0,
2018-02-11,34307.0,
2018-02-18,26638.0,
2018-02-25,37938.0,
2018-03-04,55065.0,
2018-03-11,58326.0,
2018-03-18,56616.0,
2018-03-25,54038.0,
2018-04-01,51365.0,
2018-04-08,63171.0,
2018-04-15,71159.0,
2018-04-22,62088.0,
2018-04-29,58376.0,
2018-05-06,72373.0,
2018-05-13,37903.0,
2018-05-20,45693.0,
2018-05-27,24666.0,
2018-06-03,37844.0,
2018-06-10,30118.0,
2018-06-17,45997.0,
2018-06-24,48449.0,
2018-07-01,58780.0,
2018-07-08,54354.0,
2018-07-15,61988.0,
2018-07-22,56215.0,
2018-07-29,66224.0,
2018-08-05,65730.0,
2018-08-12,67849.0,
2018-08-19,63682.0,
2018-08-26,55546.0,
2018-09-02,85427.0,
2018-09-09,48497.0,
2018-09-16,22512.0,
2018-09-23,20411.0,
2018-09-30,14701.0,
2018-10-07,24884.0,
2018-10-14,16880.0,
2018-10-21,21601.0,
2018-10-28,11925.0,
2018-11-04,23135.0,
2018-11-11,22798.0,
2018-11-18,16880.0,
2018-11-25,26764.0,
2018-12-02,29053.0,
2018-12-09,66430.0,
2018-12-16,76102.0,
2018-12-23,130984.0,
2018-12-30,111905.0,
2019-01-06,143717.0,
2019-01-13,127561.0,
2019-01-20,78051.0,
2019-01-27,66871.0,
2019-02-03,65268.0,
2019-02-10,44472.0,
2019-02-17,48056.0,
2019-02-24,79541.0,
2019-03-03,78232.0,
2019-03-10,84947.0,
2019-03-17,64860.0,
2019-03-24,82697.0,
2019-03-31,75158.0,
2019-04-07,87985.0,
2019-04-14,67326.0,
2019-04-21,82813.0,
2019-04-28,106688.0,
2019-05-05,74518.0,
2019-05-12,58235.0,
2019-05-19,50293.0,
2019-05-26,63825.0,
2019-06-02,55989.0,
2019-06-09,55893.0,
2019-06-16,85624.0,
2019-06-23,66235.0,
2019-06-30,84262.0,
2019-07-07,63747.0,
2019-07-14,95585.0,
2019-07-21,94008.0,
2019-07-28,79866.0,
2019-08-04,93269.0,
2019-08-11,95963.0,
2019-08-18,102307.0,
2019-08-25,72587.0,
2019-09-01,140857.0,
2019-09-08,110771.0,
2019-09-15,67581.0,
2019-09-22,50460.0,
2019-09-29,39954.0,
2019-10-06,39813.0,
2019-10-13,44737.0,
2019-10-20,40230.0,
2019-10-27,40002.0,
2019-11-03,52300.0,
2019-11-10,50667.0,
2019-11-17,42736.0,
2019-11-24,58678.0,
2019-12-01,60842.0,
2019-12-08,58105.0,
2019-12-15,116921.0,
2019-12-22,192723.0,
2019-12-29,146730.0,
2020-01-05,181525.0,
2020-01-12,168050.0,
2020-01-19,95977.0,
2020-01-26,82086.0,
2020-02-02,78203.0,
2020-02-09,125623.0,
2020-02-16,93856.0,
2020-02-23,74182.0,
2020-03-01,98682.0,
2020-03-08,90953.0,
2020-03-15,86259.0,
2020-03-22,103838.0,
2020-03-29,118645.0,
2020-04-05,74378.0,
2020-04-12,64941.0,
2020-04-19,58491.0,
2020-04-26,55482.0,
2020-05-03,44246.0,
2020-05-10,39039.0,
2020-05-17,39407.0,
2020-05-24,19667.0,
2020-05-31,30039.0,
2020-06-07,46776.0,
2020-06-14,29050.0,
2020-06-21,35955.0,
2020-06-28,38386.0,
2020-07-05,26434.0,
2020-07-12,29248.0,
2020-07-19,31047.0,
2020-07-26,29010.0,
2020-08-02,35631.0,
2020-08-09,35184.0,
2020-08-16,26251.0,
2020-08-23,29372.0,
2020-08-30,24381.0,
2020-09-06,47097.0,
2020-09-13,24322.0,
2020-09-20,19665.0,
2020-09-27,15940.0,
2020-10-04,20833.0,
2020-10-11,10257.0,
2020-10-18,9089.0,
2020-10-25,13134.0,
2020-11-01,13760.0,
2020-11-08,28876.0,
2020-11-15,16943.0,
2020-11-22,16707.0,
2020-11-29,12880.0,
2020-12-06,25200.0,
2020-12-13,36352.0,
2020-12-20,35642.0,
2020-12-27,25521.0,
2021-01-03,29373.0,
2021-01-10,25837.0,
2021-01-17,21608.0,
2021-01-24,25095.0,
2021-01-31,20034.0,
2021-02-07,32715.0,
2021-02-14,17561.0,
2021-02-21,27746.0,
2021-02-28,27313.0,
2021-03-07,25241.0,
2021-03-14,23311.0,
2021-03-21,14536.0,
2021-03-28,22916.0,
2021-04-04,22710.0,
2021-04-11,16246.0,
2021-04-18,17750.0,
2021-04-25,7560.0,
2021-05-02,18742.0,
2021-05-09,12033.0,
2021-05-16,23537.0,
2021-05-23,9265.0,
2021-05-30,26625.0,
2021-06-06,20370.0,
2021-06-13,27304.0,
2021-06-20,20842.0,
2021-06-27,35556.0,
2021-07-04,49659.0,
2021-07-11,39366.0,
2021-07-18,47392.0,
2021-07-25,52249.0,
2021-08-01,63744.0,
2021-08-08,79514.0,
2021-08-15,57751.0,
2021-08-22,87468.0,
2021-08-29,69895.0,
2021-09-05,89183.0,
2021-09-12,63644.0,
2021-09-19,48351.0,
2021-09-26,57768.0,
2021-10-03,54494.0,
2021-10-10,52257.0,
2021-10-17,58575.0,
2021-10-24,56376.0,
2021-10-31,90983.0,
2021-11-07,69824.0,
2021-11-14,62680.0,
2021-11-21,74489.0,
2021-11-28,151226.0,
2021-12-05,165389.0,
2021-12-12,147953.0,
2021-12-19,211645.0,
2021-12-26,218912.0,
2022-01-02,238726.0,
2022-01-09,207323.0,
2022-01-16,212964.0,
2022-01-23,152762.0,
2022-01-30,141416.0,
2022-02-06,147712.0,
2022-02-13,136664.0,
2022-02-20,149918.0,
2022-02-27,126738.0,
2022-03-06,150327.0,
2022-03-13,134828.0,
2022-03-20,139533.0,
2022-03-27,153857.0,
2022-04-03,145340.0,
2022-04-10,,134138.0
2022-04-17,,132118.0
2022-04-24,,130062.0
2022-05-01,,124010.0
2022-05-08,,110467.0
2022-05-15,,111338.0
2022-05-22,,99440.0
2022-05-29,,105519.0
2022-06-05,,104992.0
2022-06-12,,108216.0
2022-06-19,,102955.0
2022-06-26,,110809.0
2022-07-03,,105338.0
2022-07-10,,108416.0
2022-07-17,,108284.0
2022-07-24,,106179.0
2022-07-31,,111971.0
2022-08-07,,115516.0
2022-08-14,,105877.0
2022-08-21,,106840.0
2022-08-28,,116088.0
2022-09-04,,115077.0
2022-09-11,,88349.0
2022-09-18,,77729.0
2022-09-25,,75188.0
2022-10-02,,75558.0
