DEPARTURE DATE,total_fare
2018-01-07,33672
2018-01-14,56331
2018-01-21,75138
2018-01-28,37408
2018-02-04,70620
2018-02-11,79475
2018-02-18,79790
2018-02-25,128491
2018-03-04,122249
2018-03-11,133214
2018-03-18,155100
2018-03-25,134358
2018-04-01,129304
2018-04-08,159312
2018-04-15,111192
2018-04-22,104887
2018-04-29,92089
2018-05-06,100303
2018-05-13,87080
2018-05-20,93626
2018-05-27,134575
2018-06-03,150731
2018-06-10,196307
2018-06-17,194409
2018-06-24,208241
2018-07-01,226161
2018-07-08,286889
2018-07-15,259972
2018-07-22,229853
2018-07-29,269746
2018-08-05,238107
2018-08-12,221106
2018-08-19,267762
2018-08-26,184530
2018-09-02,157946
2018-09-09,86389
2018-09-16,52626
2018-09-23,39963
2018-09-30,34022
2018-10-07,31175
2018-10-14,27332
2018-10-21,28052
2018-10-28,32131
2018-11-04,38999
2018-11-11,45426
2018-11-18,46537
2018-11-25,42227
2018-12-02,64429
2018-12-09,76821
2018-12-16,112093
2018-12-23,233297
2018-12-30,128487
2019-01-06,363045
2019-01-13,187682
2019-01-20,75572
2019-01-27,51660
2019-02-03,50196
2019-02-10,43208
2019-02-17,29589
2019-02-24,30351
2019-03-03,45296
2019-03-10,35151
2019-03-17,43998
2019-03-24,54816
2019-03-31,56861
2019-04-07,76607
2019-04-14,80999
2019-04-21,99316
2019-04-28,117309
2019-05-05,111242
2019-05-12,98225
2019-05-19,95804
2019-05-26,120311
2019-06-02,139234
2019-06-09,174678
2019-06-16,208512
2019-06-23,243739
2019-06-30,300466
2019-07-07,263112
2019-07-14,263637
2019-07-21,238501
2019-07-28,240590
2019-08-04,315621
2019-08-11,261600
2019-08-18,268281
2019-08-25,205761
2019-09-01,171854
2019-09-08,117585
2019-09-15,65550
2019-09-22,58727
2019-09-29,92367
2019-10-06,81878
2019-10-13,80004
2019-10-20,96170
2019-10-27,77293
2019-11-03,98458
2019-11-10,83432
2019-11-17,90000
2019-11-24,107934
2019-12-01,123065
2019-12-08,121141
2019-12-15,221724
2019-12-22,313539
2019-12-29,260371
2020-01-05,368296
2020-01-12,259671
2020-01-19,198747
2020-01-26,159282
2020-02-02,97155
2020-02-09,83933
2020-02-16,74078
2020-02-23,68966
2020-03-01,75547
2020-03-08,64173
2020-03-15,69196
2020-03-22,47826
2020-03-29,52419
2020-04-05,90831
2020-04-12,77898
2020-04-19,44866
2020-04-26,34483
2020-05-03,34873
2020-05-10,30319
2020-05-17,21166
2020-05-24,27020
2020-05-31,33386
2020-06-07,29877
2020-06-14,38752
2020-06-21,59955
2020-06-28,46169
2020-07-05,88211
2020-07-12,80761
2020-07-19,76084
2020-07-26,74435
2020-08-02,68085
2020-08-09,52629
2020-08-16,65684
2020-08-23,59199
2020-08-30,43005
2020-09-06,63779
2020-09-13,54212
2020-09-20,56098
2020-09-27,65237
2020-10-04,63176
2020-10-11,64632
2020-10-18,50664
2020-10-25,56906
2020-11-01,58888
2020-11-08,45750
2020-11-15,75302
2020-11-22,69628
2020-11-29,79821
2020-12-06,79493
2020-12-13,80563
2020-12-20,114230
2020-12-27,102911
2021-01-03,116834
2021-01-10,152805
2021-01-17,87876
2021-01-24,76558
2021-01-31,64690
2021-02-07,72767
2021-02-14,55933
2021-02-21,60830
2021-02-28,74917
2021-03-07,89551
2021-03-14,72828
2021-03-21,78458
2021-03-28,82551
2021-04-04,111478
2021-04-11,96115
2021-04-18,105700
2021-04-25,98548
2021-05-02,122869
2021-05-09,173447
2021-05-16,127530
2021-05-23,160986
2021-05-30,213119
2021-06-06,217829
2021-06-13,234634
2021-06-20,257542
2021-06-27,254067
2021-07-04,353622
2021-07-11,427148
2021-07-18,440799
2021-07-25,411564
2021-08-01,431241
2021-08-08,458306
2021-08-15,514676
2021-08-22,468029
2021-08-29,351999
2021-09-05,344712
2021-09-12,220689
2021-09-19,195159
2021-09-26,195282
2021-10-03,220709
2021-10-10,251993
2021-10-17,226174
2021-10-24,179517
2021-10-31,248012
2021-11-07,200709
2021-11-14,248405
2021-11-21,333643
2021-11-28,410443
2021-12-05,469268
2021-12-12,732761
2021-12-19,967671
2021-12-26,882883
2022-01-02,926076
2022-01-09,948413
2022-01-16,609237
2022-01-23,378509
2022-01-30,302899
2022-02-06,202424
2022-02-13,191099
2022-02-20,241142
2022-02-27,237671
2022-03-06,334222
2022-03-13,314537
2022-03-20,303495
2022-03-27,283414
2022-04-03,302298
2022-04-10,288312
2022-04-17,288317
2022-04-24,291107
2022-05-01,320761
2022-05-08,322993
2022-05-15,374229
2022-05-22,462724
2022-05-29,506284
2022-06-05,549795
2022-06-12,681961
2022-06-19,867420
2022-06-26,730724
2022-07-03,979722
2022-07-10,866995
2022-07-17,875850
2022-07-24,808948
2022-07-31,789541
2022-08-07,641155
2022-08-14,636495
2022-08-21,469525
2022-08-28,343969
2022-09-04,256219
2022-09-11,120991
2022-09-18,88825
2022-09-25,71725
2022-10-02,65414
