DEPARTURE DATE,total_fare,forecast
2018-01-07,33672.0,
2018-01-14,56331.0,
2018-01-21,75138.0,
2018-01-28,37408.0,
2018-02-04,70620.0,
2018-02-11,79475.0,
2018-02-18,79790.0,
2018-02-25,128491.0,
2018-03-04,122249.0,
2018-03-11,133214.0,
2018-03-18,155100.0,
2018-03-25,134358.0,
2018-04-01,129304.0,
2018-04-08,159312.0,
2018-04-15,111192.0,
2018-04-22,104887.0,
2018-04-29,92089.0,
2018-05-06,100303.0,
2018-05-13,87080.0,
2018-05-20,93626.0,
2018-05-27,134575.0,
2018-06-03,150731.0,
2018-06-10,196307.0,
2018-06-17,194409.0,
2018-06-24,208241.0,
2018-07-01,226161.0,
2018-07-08,286889.0,
2018-07-15,259972.0,
2018-07-22,229853.0,
2018-07-29,269746.0,
2018-08-05,238107.0,
2018-08-12,221106.0,
2018-08-19,267762.0,
2018-08-26,184530.0,
2018-09-02,157946.0,
2018-09-09,86389.0,
2018-09-16,52626.0,
2018-09-23,39963.0,
2018-09-30,34022.0,
2018-10-07,31175.0,
2018-10-14,27332.0,
2018-10-21,28052.0,
2018-10-28,32131.0,
2018-11-04,38999.0,
2018-11-11,45426.0,
2018-11-18,46537.0,
2018-11-25,42227.0,
2018-12-02,64429.0,
2018-12-09,76821.0,
2018-12-16,112093.0,
2018-12-23,233297.0,
2018-12-30,128487.0,
2019-01-06,363045.0,
2019-01-13,187682.0,
2019-01-20,75572.0,
2019-01-27,51660.0,
2019-02-03,50196.0,
2019-02-10,43208.0,
2019-02-17,29589.0,
2019-02-24,30351.0,
2019-03-03,45296.0,
2019-03-10,35151.0,
2019-03-17,43998.0,
2019-03-24,54816.0,
2019-03-31,56861.0,
2019-04-07,76607.0,
2019-04-14,80999.0,
2019-04-21,99316.0,
2019-04-28,117309.0,
2019-05-05,111242.0,
2019-05-12,98225.0,
2019-05-19,95804.0,
2019-05-26,120311.0,
2019-06-02,139234.0,
2019-06-09,174678.0,
2019-06-16,208512.0,
2019-06-23,243739.0,
2019-06-30,300466.0,
2019-07-07,263112.0,
2019-07-14,263637.0,
2019-07-21,238501.0,
2019-07-28,240590.0,
2019-08-04,315621.0,
2019-08-11,261600.0,
2019-08-18,268281.0,
2019-08-25,205761.0,
2019-09-01,171854.0,
2019-09-08,117585.0,
2019-09-15,65550.0,
2019-09-22,58727.0,
2019-09-29,92367.0,
2019-10-06,81878.0,
2019-10-13,80004.0,
2019-10-20,96170.0,
2019-10-27,77293.0,
2019-11-03,98458.0,
2019-11-10,83432.0,
2019-11-17,90000.0,
2019-11-24,107934.0,
2019-12-01,123065.0,
2019-12-08,121141.0,
2019-12-15,221724.0,
2019-12-22,313539.0,
2019-12-29,260371.0,
2020-01-05,368296.0,
2020-01-12,259671.0,
2020-01-19,198747.0,
2020-01-26,159282.0,
2020-02-02,97155.0,
2020-02-09,83933.0,
2020-02-16,74078.0,
2020-02-23,68966.0,
2020-03-01,75547.0,
2020-03-08,64173.0,
2020-03-15,69196.0,
2020-03-22,47826.0,
2020-03-29,52419.0,
2020-04-05,90831.0,
2020-04-12,77898.0,
2020-04-19,44866.0,
2020-04-26,34483.0,
2020-05-03,34873.0,
2020-05-10,30319.0,
2020-05-17,21166.0,
2020-05-24,27020.0,
2020-05-31,33386.0,
2020-06-07,29877.0,
2020-06-14,38752.0,
2020-06-21,59955.0,
2020-06-28,46169.0,
2020-07-05,88211.0,
2020-07-12,80761.0,
2020-07-19,76084.0,
2020-07-26,74435.0,
2020-08-02,68085.0,
2020-08-09,52629.0,
2020-08-16,65684.0,
2020-08-23,59199.0,
2020-08-30,43005.0,
2020-09-06,63779.0,
2020-09-13,54212.0,
2020-09-20,56098.0,
2020-09-27,65237.0,
2020-10-04,63176.0,
2020-10-11,64632.0,
2020-10-18,50664.0,
2020-10-25,56906.0,
2020-11-01,58888.0,
2020-11-08,45750.0,
2020-11-15,75302.0,
2020-11-22,69628.0,
2020-11-29,79821.0,
2020-12-06,79493.0,
2020-12-13,80563.0,
2020-12-20,114230.0,
2020-12-27,102911.0,
2021-01-03,116834.0,
2021-01-10,152805.0,
2021-01-17,87876.0,
2021-01-24,76558.0,
2021-01-31,64690.0,
2021-02-07,72767.0,
2021-02-14,55933.0,
2021-02-21,60830.0,
2021-02-28,74917.0,
2021-03-07,89551.0,
2021-03-14,72828.0,
2021-03-21,78458.0,
2021-03-28,82551.0,
2021-04-04,111478.0,
2021-04-11,96115.0,
2021-04-18,105700.0,
2021-04-25,98548.0,
2021-05-02,122869.0,
2021-05-09,173447.0,
2021-05-16,127530.0,
2021-05-23,160986.0,
2021-05-30,213119.0,
2021-06-06,217829.0,
2021-06-13,234634.0,
2021-06-20,257542.0,
2021-06-27,254067.0,
2021-07-04,353622.0,
2021-07-11,427148.0,
2021-07-18,440799.0,
2021-07-25,411564.0,
